"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
20,5,"DZA","Algeria",20,"Ghardaïa","DZ.GR",NA,"47","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+063A><U+0631><U+062F><U+0627><U+064A><U+0629>","GhardaSa|Gharday"
21,5,"DZA","Algeria",21,"Guelma","DZ.GL",NA,"24","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0642><U+0627><U+0644><U+0645><U+0629>",""
22,5,"DZA","Algeria",22,"Illizi","DZ.IL",NA,"33","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0627><U+0644><U+064A><U+0632><U+064A>","Polignac|Fort Polignac|Ilizi"
23,5,"DZA","Algeria",23,"Jijel","DZ.JJ",NA,"18","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+062C><U+064A><U+062C><U+0644>","Djidjel| Djidjelli"
24,5,"DZA","Algeria",24,"Khenchela","DZ.KH",NA,"40","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+062E><U+0646><U+0634><U+0644><U+0629>","Khenchela"
25,5,"DZA","Algeria",25,"Laghouat","DZ.LG",NA,"3","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0627><U+0644><U+0623><U+063A><U+0648><U+0627><U+0637>",""
26,5,"DZA","Algeria",26,"M'Sila","DZ.MS",NA,"28","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0627><U+0644><U+0645><U+0633><U+064A><U+0644><U+0629>","Msila"
27,5,"DZA","Algeria",27,"Médéa","DZ.MD",NA,"26","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0627><U+0644><U+0645><U+062F><U+064A><U+0629>","El Mediyya|Lemdiyya"
28,5,"DZA","Algeria",28,"Mascara","DZ.MC",NA,"29","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0645><U+0639><U+0633><U+0643><U+0631>","Mouaskar"
29,5,"DZA","Algeria",29,"Mila","DZ.ML",NA,"43","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0645><U+064A><U+0644><U+0629>",""
30,5,"DZA","Algeria",30,"Mostaganem","DZ.MG",NA,"27","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0645><U+0633><U+062A><U+063A><U+0627><U+0646><U+0645>","Mostaghanem|Mestghanem"
31,5,"DZA","Algeria",31,"Naâma","DZ.NA",NA,"45","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0627><U+0644><U+0646><U+0639><U+0627><U+0645><U+0629>","Naama"
32,5,"DZA","Algeria",32,"Oran","DZ.OR",NA,"31","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0648><U+0647><U+0631><U+0627><U+0646>","Orán|Orano|Orão|Ouahran|Ouahrane|Wahran"
33,5,"DZA","Algeria",33,"Ouargla","DZ.OG",NA,"30","Wilaya","Province","<U+0648><U+0631><U+0642><U+0644><U+0629>","Wargla"
34,5,"DZA","Algeria",34,"Oum el Bouaghi","DZ.OB",NA,"4","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0623><U+0645> <U+0627><U+0644><U+0628><U+0648><U+0627><U+0642><U+064A>","Oum el Bouagui|Canrobert"
35,5,"DZA","Algeria",35,"Relizane","DZ.RE",NA,"48","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+063A><U+0644><U+064A><U+0632><U+0627><U+0646>","Ghelizane|Ghilizane"
36,5,"DZA","Algeria",36,"Sétif","DZ.SF",NA,"19","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0633><U+0637><U+064A><U+0641>","Stif"
37,5,"DZA","Algeria",37,"Saïda","DZ.SD",NA,"20","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0633><U+0639><U+064A><U+062F><U+0629>",""
38,5,"DZA","Algeria",38,"Sidi Bel Abbès","DZ.SB",NA,"22","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0633><U+064A><U+062F><U+064A> <U+0628><U+0644><U+0639><U+0628><U+0627><U+0633>","Sidi-Bel-Abbes"
39,5,"DZA","Algeria",39,"Skikda","DZ.SK",NA,"21","Wilaya","Province","<U+0633><U+0643><U+064A><U+0643><U+062F><U+0629>","Philippeville|Skidda"
40,5,"DZA","Algeria",40,"Souk Ahras","DZ.SA",NA,"41","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0633><U+0648><U+0642> <U+0623><U+0647><U+0631><U+0627><U+0633>","Souk-Ahras|Souq Ahras"
41,5,"DZA","Algeria",41,"Tébessa","DZ.TB",NA,"12","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+062A><U+0628><U+0633><U+0629>","Tbessa"
42,5,"DZA","Algeria",42,"Tamanghasset","DZ.TM",NA,"11","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+062A><U+0645><U+0646><U+0631><U+0627><U+0633><U+062A>","Tamanrasset|Tamenghasset|Tamenghest|Fort Laperrine"
43,5,"DZA","Algeria",43,"Tiaret","DZ.TR",NA,"14","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+062A><U+064A><U+0627><U+0631><U+062A>","Tendouf|Tihert"
44,5,"DZA","Algeria",44,"Tindouf","DZ.TN",NA,"37","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+062A><U+0646><U+062F><U+0648><U+0641>","Tiaret"
45,5,"DZA","Algeria",45,"Tipaza","DZ.TP",NA,"42","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+062A><U+064A><U+0628><U+0627><U+0632><U+0629>","Tibaza| Tefessedt"
46,5,"DZA","Algeria",46,"Tissemsilt","DZ.TS",NA,"38","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+062A><U+0633><U+0645><U+0633><U+064A><U+0644><U+062A>","Vialar"
47,5,"DZA","Algeria",47,"Tizi Ouzou","DZ.TO",NA,"15","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+063A><U+0644><U+064A><U+0632><U+0627><U+0646>","Tizi-ouzou|Tizi Wezzu"
48,5,"DZA","Algeria",48,"Tlemcen","DZ.TL",NA,"13","Wilaya","Province","<U+062A><U+0644><U+0645><U+0633><U+0627><U+0646>","Tilimsene|Tlemsane|Tilimsen|Tremecém"
